NumberOfFollowings,NumberOfFollowers,NumberOfTweets,LengthOfScreenName,LengthOfDescriptionInUserProfile,BadUser
4,10,2203,14,106,0
185,255,12696,13,83,0
97,23,151,8,58,0
270,282,1014,10,0,0
57,19,13,10,0,0
38,16,141,10,101,0
24,62,197,6,0,0
48,45,534,5,72,0
33,15,19,13,0,0
77,221,626,6,58,0
482,33,57,9,136,0
725,732,2283,6,117,0
54,48,72,12,106,0
99,47,703,11,0,0
97,117,43,6,97,0
249,352,1064,14,45,0
20,15,81,10,121,0
203,208,689,8,111,0
281,7923,2088,9,137,0
26,23,1709,6,34,0
137,83,794,12,0,0
493,602,8054,12,30,0
64,51,438,11,41,0
17,10,45,12,6,0
17,34,249,11,16,0
52,85,860,10,52,0
57,102,632,8,24,0
58,52,750,15,75,0
68,154,2751,9,0,0
62,109,1559,5,64,0
15,12,87,13,0,0
20,59,2335,11,0,0
2485,2269,9425,10,145,0
199,102,57,9,0,0
148,52,139,6,0,0
1858,1043,3030,9,119,0
133,77,503,14,0,0
144,88,417,8,15,0
38,56,131,10,19,0
0,2,29,12,0,0
27,38,499,9,0,0
135,18,765,10,0,0
283,406,387,11,108,0
27,23,264,9,0,0
19,13,511,8,18,0
20,694,1038,12,97,0
346,245,2857,11,35,0
126,61,734,8,54,0
292,152,6464,8,57,0
162,121,1293,10,13,0
57,19,36,15,0,0
80,39,4054,12,61,0
9,2,20,14,0,0
311,470,459,13,0,0
24,52,2414,15,50,0
65,42,514,9,21,0
69,56,1097,13,36,0
292,272,4850,8,11,0
492,930,24985,6,49,0
185,275,11162,11,98,0
3434,4336,719,11,23,0
16,7,20,12,0,0
96,77,860,7,0,0
477,89,844,8,0,0
286,419,13632,9,28,0
178,127,176,11,82,0
173,175,2247,12,112,0
88,27,356,9,160,0
61,116,2146,9,0,0
13,13,15,10,22,0
661,751,353,5,0,0
94,88,1193,10,111,0
50,40,491,10,0,0
82,69,308,14,0,0
735,625,1534,10,110,0
346,423,4428,13,44,0
284,114,620,9,8,0
437,143,5253,10,22,0
11,9,24,7,0,0
1441,1596,1139,12,146,0
37,16,550,9,0,0
93,422,12975,15,66,0
61,55,1287,11,0,0
44,145,2173,12,71,0
41,41,407,10,18,0
132,906,766,7,61,0
66,54,1891,11,0,0
41,23,272,7,0,0
137,78,605,10,0,0
132,25,3408,10,0,0
83,257,56,11,75,0
6,35,1258,10,5,0
2,0,2,10,0,0
82,70,3301,11,52,0
241,6148,18389,15,135,0
17,179,1295,14,77,0
220,202,2264,12,155,0
151,30,38,13,0,0
151,346,2468,12,33,0
120,120,3655,10,24,0
87,69,1209,15,0,0
93,43,979,6,41,0
61,54,197,12,50,0
14,17,41,7,0,0
26,18,230,10,74,0
25,14,84,11,21,0
13,41,938,14,30,0
108,99,293,9,44,0
62,61,308,8,45,0
102,53,405,12,121,0
96,129,1201,13,12,0
9,18,246,12,45,0
156,288,5515,11,30,0
624,339,7806,14,27,0
92,62,623,12,20,0
152,62,13185,13,29,0
47,37,906,12,53,0
114,149,3801,8,95,0
4,67,1803,10,0,0
45,24,67,15,0,0
307,918,2746,8,107,0
27,13,277,11,0,0
62,68,806,11,0,0
1071,1105,15674,10,97,0
350,284,2681,6,69,0
65,111,246,7,44,0
2204,2003,2288,9,47,0
1422,908,6388,11,27,0
35,52,551,6,15,0
173,174,3358,13,131,0
0,23,35245,7,0,0
269,444,8353,13,154,0
0,1,2,13,106,0
190,158,2881,9,80,0
77,18,449,8,0,0
936,804,264,12,50,0
950,337,1201,8,114,0
89,81,865,5,25,0
68,23,119,13,0,0
61,72,468,10,32,0
172,104,11586,11,80,0
129,289,9193,7,33,0
202,645,9729,9,115,0
123,208,3970,13,88,0
302,146,1486,13,130,0
243,462,7401,13,64,0
34,40,85,9,131,0
82,136,2207,10,100,0
72,49,144,8,43,0
175,178,3567,5,60,0
3,144,23187,13,15,0
50,97,1046,13,51,0
91,88,755,9,19,0
20,10,76,12,0,0
309,177,1791,12,14,0
155,45,1297,12,49,0
44,29,116,11,0,0
146,128,4437,7,0,0
89,50,206,9,50,0
263,260,10707,5,104,0
71,145,2938,11,0,0
20,13,165,15,0,0
13,4,22,9,0,0
90,85,306,14,0,0
39,38,1684,10,35,0
50,52,758,13,77,0
603,432,539,14,38,0
90,70,650,11,144,0
118,58,498,12,0,0
2,6,109,10,0,0
67,37,149,13,73,0
45,66,1278,12,0,0
25,74,301,14,23,0
656,758,8897,12,159,0
84,79,1802,8,61,0
51,34,318,6,142,0
5,2,57,13,18,0
37,34,141,9,0,0
4,4,16,11,0,0
201,133,1221,7,40,0
42,44,3232,13,61,0
229,982,847,12,37,0
102,104,1088,6,75,0
108,131,2745,8,33,0
59,38,1993,10,64,0
1661,549,8369,11,54,0
22,7,2,10,0,0
77,46,307,14,58,0
0,1,22,4,0,0
20,0,21,10,0,0
7889,7340,11723,15,64,0
57,71,1993,10,0,0
342,353,11008,8,36,0
752,1663,4610,8,4,0
245,162,1704,8,137,0
8,14,217,12,85,0
141,635,9744,11,125,0
81,50,828,14,22,0
47,25,71,7,0,0
6509,9836,65727,12,122,0
3,21,20,9,0,0
81,100,1044,6,71,0
35,44,442,11,0,0
32,27,185,10,0,0
21,17,90,11,59,0
5038,4885,2026,8,78,0
747,749,577,9,160,0
301,328,1429,5,10,0
91,58,1151,7,31,0
181,181,1525,8,34,0
14,19,203,15,36,0
53,31,384,11,71,0
14,15,91,10,0,0
20,53,373,8,0,0
488,7,21,9,47,0
62,54,1488,11,0,0
130,253,2631,8,22,0
2,579,12463,14,0,0
708,677,347,11,13,0
28,12,169,7,160,0
87,97,3202,14,15,0
297,90,404,15,0,0
129,62,173,12,0,0
77,82,963,10,107,0
104,124,1809,11,0,0
20,9,47,9,0,0
174,132,1340,9,28,0
172,116,3416,9,114,0
104,116,1515,10,0,0
30,55,1721,15,38,0
92,100,2015,9,37,0
108,118,1478,6,120,0
63,331,3262,8,125,0
99,30,521,6,135,0
90,62,223,7,24,0
128,43,3451,10,0,0
7,2,3,9,0,0
15,19,41,7,0,0
194,212,927,13,50,0
182,172,779,12,125,0
65,98,1284,8,50,0
210,142,2581,14,68,0
7,6,5,6,0,0
156,143,1995,11,124,0
157,214,7179,11,78,0
15,4,37,11,0,0
146,192,5124,11,158,0
101,230,2761,9,57,0
124,69,607,11,0,0
327,297,5089,14,101,0
101,90,1103,5,67,0
64,14,18,13,0,0
20,25,374,10,0,0
20,56,791,10,144,0
208,111,135,6,14,0
213,656,7895,10,51,0
155,210,2837,14,131,0
57,52,559,12,140,0
243,323,9278,14,0,0
634,956,11406,7,56,0
5,15,70,6,39,0
53,94,253,14,14,0
141,184,1024,12,75,0
17,32,473,7,99,0
0,4,16,11,0,0
582,777,620,6,122,0
73,71,682,9,0,0
3736,3582,18537,14,160,0
208,292,1559,10,4,0
18,19,247,7,17,0
70,40,288,13,0,0
171,236,3225,4,14,0
18,8,20,8,48,0
27,7,20,9,0,0
97,484,2443,13,145,0
11,8,65,7,46,0
26,11,73,12,109,0
134,38,150,15,18,0
326,201,3836,7,73,0
33,56,537,10,63,0
23,16,29,11,44,0
369,382,15371,14,33,0
118,118,1211,13,48,0
1,528,13774,9,43,0
495,464,1565,12,47,0
88,32,262,10,0,0
59,103,2457,15,0,0
0,0,7,8,0,0
190,10,33,13,0,0
110,104,2090,12,82,0
102,165,3339,12,52,0
37,38,721,10,0,0
20,5,266,10,28,0
31,13,66,12,87,0
310,616,9006,9,159,0
179,261,18665,14,79,0
64,152,7625,10,57,0
67,175,2799,6,27,0
104,150,2899,6,0,0
297,141,531,10,41,0
157,155,1843,9,45,0
86,114,397,13,29,0
1108,900,1376,7,92,0
761,546,842,7,80,0
100,55,658,5,16,0
54,64,640,13,23,0
71,21,1395,10,55,0
20,7,27,12,0,0
538,1065,29397,15,92,0
123,187,10040,8,20,0
189,215,9004,9,56,0
4736,5460,4372,11,51,0
192,399,7718,10,119,0
108,31,31,7,0,0
56,12,1430,5,31,0
22,60,1229,6,62,0
28,18,126,7,0,0
132,150,2738,5,90,0
245,113,3471,14,123,0
177,81,1573,8,15,0
183,429,678,15,72,0
434,206,303,14,0,0
7,4,137,6,27,0
1,316,24732,14,43,0
2,391,7741,8,118,0
26,29,306,12,103,0
2,239,1759,7,35,0
33,34,97,11,0,0
18384,17128,8946,5,114,0
178,67,426,10,0,0
1371,923,1306,5,32,0
52,13,88,10,160,0
214,174,1179,11,30,0
64,320,7282,15,106,0
44,56,72,6,80,0
14,1,2,11,0,0
38,269,8238,13,113,0
105,116,2443,8,31,0
33,20,134,9,0,0
83,41,660,8,18,0
1355,1372,2292,14,81,0
1,1,2,7,0,0
62,79,648,5,23,0
119,44,776,11,157,0
59,16,195,10,57,0
28,41,374,4,62,0
52,24,440,15,13,0
292,361,6542,13,158,0
54,55,1941,6,36,0
223,2061,20874,13,160,0
805,931,9187,12,83,0
241,214,5160,7,48,0
173,755,9427,8,22,0
100,99,364,15,24,0
70,74,1006,7,40,0
401,329,10005,9,124,0
130,34,120,11,85,0
8,10,41,9,22,0
492,80,320,13,5,0
385,1360,9659,8,44,0
21,56,537,9,0,0
127,144,265,13,3,0
33,7,12,11,0,0
849,833,13459,9,16,0
63,190,4258,4,27,0
27,271,113,7,12,0
31,27,211,14,0,0
4,58,1043,8,0,0
219,297,36498,6,46,0
10,4,46,6,31,0
155,122,1999,12,44,0
248,197,1498,14,56,0
227,24,372,12,104,0
67,34,183,12,50,0
182,5258,11360,8,64,0
8,2,10,8,0,0
77,74,676,14,17,0
128,122,5901,10,20,0
0,24,1898,8,51,0
54,33,282,13,20,0
90,66,1495,14,0,0
119,130,1095,14,49,0
41,12,210,11,93,0
30,35,261,6,131,0
3,2,74,6,54,0
633,639,3401,15,151,0
158,627,505,15,17,0
790,792,9348,7,142,0
86,50,540,13,0,0
4,3,1,10,0,0
68,13,28,13,146,0
22,6,9,10,0,0
1146,839,568,7,121,0
562,695,4165,11,140,0
1997,1290,12423,14,48,0
516,215,1051,15,43,0
132,104,904,10,35,0
41,22,197,13,24,0
361,213,4962,12,0,0
37,25,418,11,0,0
48,80,1440,6,23,0
48,88,1266,15,0,0
165,169,2384,9,0,0
14,15,144,10,0,0
12,22,237,15,0,0
50,54,974,8,4,0
180,139,148,7,131,0
106,7084,16907,12,85,0
36,35,119,11,66,0
435,275,2016,6,58,0
16,12,122,6,0,0
56,439,6834,9,13,0
4,267,4670,8,0,0
109,67,639,10,90,0
99,99,3548,9,10,0
353,369,2239,8,70,0
123,194,5188,6,42,0
87,40,6171,12,101,0
54,95,2019,7,86,0
493,523,3724,12,5,0
3,5,114,6,0,0
59,103,1975,7,9,0
24,23,241,5,23,0
17,16,54,9,16,0
106,17,302,7,0,0
149,389,384,13,158,0
29,35,656,8,28,0
78,32,636,10,0,0
135,278,5194,10,22,0
1,188,2058,11,71,0
62,70,1416,4,0,0
36,10,19,9,0,0
138,209,5709,12,52,0
434,463,1347,8,128,0
24,225,1659,12,38,0
524,467,490,7,18,0
8302,9230,5953,9,126,0
25,19,71,9,0,0
19,19,561,8,8,0
37,54,1059,7,16,0
82,77,3147,10,17,0
85,85,3511,8,20,0
57,69,1229,11,61,0
111,120,1209,7,3,0
3357,3277,1235,12,61,0
117,125,2938,7,0,0
166,533,3007,7,22,0
7,17,201,8,10,0
40,44,1320,5,15,0
108,88,410,8,0,0
53,31,136,12,0,0
151,151,2141,9,0,0
2504,2533,1590,15,97,0
71,149,171,7,31,0
2002,1620,2507,15,0,0
0,2274,21209,11,0,0
22,77,2951,7,32,0
22,27,240,9,0,0
86,72,9103,7,64,0
85,109,1748,14,0,0
338,517,7985,6,130,0
201,189,33,8,83,0
104,171,925,7,146,0
188,73,731,12,19,0
174,614,1559,13,97,0
51,9,30,12,27,0
82,33,102,11,25,0
60,94,1643,9,0,0
60,800,58728,9,41,0
259,513,6128,10,149,0
60,5894,1495,15,44,0
57,94,201,9,62,0
361,246,518,8,91,0
559,1244,12999,11,160,0
278,112,235,14,120,0
85,64,271,4,15,0
53,46,274,9,0,0
1158,1539,8679,13,107,0
385,843,8961,11,75,0
41,15,61,12,0,0
15,6,7,9,0,0
12,6,61,13,59,0
14,40,357,15,23,0
11,12,72,8,0,0
44,65,1097,12,0,0
6,7,121,14,0,0
7,20,456,5,0,0
6,31,6898,12,13,0
46,33,414,8,0,0
34,21,156,9,0,0
20,0,1,12,0,0
170,149,1213,10,17,0
233,237,819,11,46,0
37,38,27791,9,113,0
271,737,22191,12,17,0
130,88,224,14,122,0
145,44,294,9,121,0
133,89,1897,10,0,0
0,188,4776,9,17,0
8,4,319,12,0,0
0,89,1327,9,22,0
62,446,5686,12,141,0
178,165,2416,8,10,0
0,30,833,15,0,0
6,4,27,15,0,0
11442,10841,19238,13,159,0
58,361,5915,12,82,0
40,40,45,5,0,0
80,59,556,8,74,0
251,286,1134,11,96,0
308,158,529,7,154,0
31,62,726,13,0,0
124,124,1286,12,34,0
70,806,1260,10,106,0
25,34,891,6,68,0
1,6,108,13,0,0
69,113,4692,5,61,0
0,51,17623,15,0,0
779,888,74307,8,29,0
398,508,1977,3,14,0
0,0,28,10,0,0
58,60,1082,5,0,0
81,257,6287,15,145,0
18,8,267,8,0,0
4,89,1645,10,14,0
62,154,3992,14,0,0
45,62,616,14,62,0
209,123,1175,14,69,0
16,12,510,8,0,0
10,27,190,15,3,0
86,140,1344,7,25,0
42,32,926,13,60,0
16,6,294,8,14,0
34,69,3771,9,104,0
36,40,766,7,0,0
11,4,33,14,0,0
79,92,575,7,56,0
50,32,161,15,155,0
455,160,455,15,41,0
0,174,1895,11,29,0
102,287,6027,9,33,0
184,104,1182,7,68,0
20,23,378,11,47,0
138,177,2295,7,40,0
86,87,1232,7,48,0
276,299,2610,6,156,0
318,113,866,8,0,0
121,160,1954,8,9,0
449,438,8529,8,52,0
38,4,1,10,0,0
19,15,258,9,0,0
54,75,234,6,22,0
25,26,998,9,3,0
127,96,1117,8,48,0
189,211,5554,10,23,0
226,319,10575,12,98,0
17,23,309,9,28,0
161,349,7038,14,27,0
67,301,7728,13,43,0
107,86,1092,10,64,0
986,2139,146,13,100,0
175,120,2347,9,147,0
1998,1264,12782,15,72,0
79,137,3519,5,120,0
95,81,639,5,48,0
50,243,951,13,61,0
3,6,102,8,45,0
10,14,32,11,0,0
293,364,6702,15,31,0
687,652,2023,8,141,0
2001,938,2789,13,114,0
290,685,6453,13,75,0
44,54,540,10,0,0
131,123,782,13,57,0
101,27,1643,14,97,0
185,229,7060,6,153,0
616,646,5850,6,126,0
344,185,131,8,79,0
490,190,270,10,73,0
8,6,36,10,18,0
4,9,167,15,0,0
10,12,93,10,0,0
15,14,466,8,0,0
66,67,404,12,148,0
74,109,1590,14,70,0
34,94,1986,9,35,0
94,63,232,10,0,0
6661,6178,783,11,85,0
567,512,5749,12,52,0
0,3,159,13,66,0
102,99,923,12,30,0
41,26,693,10,57,0
144,175,454,13,101,0
67,55,1045,4,0,0
0,406,9291,6,0,0
0,35,912,10,0,0
148,101,1446,6,0,0
1471,1171,6006,8,124,0
96,249,2015,14,0,0
551,926,6686,6,24,0
80,47,383,11,0,0
163,138,2718,12,47,0
1546,356,97,13,123,0
74,302,661,15,148,0
572,2417,6578,11,116,0
220,1103,2603,10,112,0
48,50,2050,7,11,0
408,360,2187,7,132,0
64,127,1779,11,41,0
0,121,3359,14,0,0
22,37,7484,6,2,0
34,49,918,13,25,0
336,355,3439,9,0,0
18,8,90,7,0,0
32,30,509,8,0,0
222,257,4051,15,147,0
80,95,3262,7,60,0
546,492,4308,6,124,0
1,260,15256,10,13,0
14,19,880,11,0,0
163,104,118,10,33,0
80,636,8208,14,0,0
117,172,4124,10,0,0
582,1751,16214,13,41,0
14,34,310,6,156,0
0,0,1,8,0,0
204,132,154,13,62,0
0,76,7822,8,70,0
76,79,321,12,0,0
28,32,108,10,24,0
15,264,7411,15,72,0
20,1,2,15,0,0
1034,884,64716,10,139,0
13,186,9661,13,0,0
98,92,976,9,24,0
2001,736,4696,5,104,0
227,156,766,15,52,0
56,71,719,12,0,0
120,107,585,13,0,0
50,47,1981,5,104,0
43,6914,46578,15,134,0
106,15,3880,10,13,0
87,97,1041,8,57,0
69,93,10366,7,46,0
0,16,354,13,0,0
0,8,93,13,68,0
156,190,24,8,73,0
61,48,229,13,124,0
15,11,43,12,0,0
13,377,4106,13,78,0
124,98,5891,11,35,0
101,52,436,9,38,0
268,383,2813,9,86,0
131,141,1620,8,88,0
113,2320,30567,11,94,0
12,15,480,8,0,0
1,44,48,11,34,0
0,103,1401,13,0,0
115,61,760,6,14,0
44,14,804,9,0,0
49,97,1843,8,17,0
165,214,771,11,127,0
0,17,1394,13,117,0
63,57,247,6,6,0
20,15,163,8,21,0
63,82,2485,12,27,0
85,47,347,12,14,0
76,89,1177,12,5,0
46,36,166,8,0,0
11,20,128,10,0,0
54,45,231,6,23,0
23,20,340,8,0,0
149,140,844,15,12,0
33,80,1408,10,2,0
28,23,85,9,0,0
24,8,109,14,160,0
344,221,152,14,0,0
143,109,1423,11,0,0
124,129,3753,12,49,0
134,152,527,11,159,0
283,419,3708,10,92,0
577,211,24,7,154,0
96,79,2336,8,10,0
4,192,2672,15,0,0
284,20,176,13,0,0
9,5,54,10,0,0
154,649,14132,10,140,0
179,137,2201,14,116,0
60,63,540,13,159,0
363,665,15010,9,74,0
53,55,331,9,43,0
75,311,199,15,45,0
79,206,193,9,49,0
1552,1530,9817,7,82,0
45,52,2567,8,108,0
61,232,1967,8,55,0
87,54,107,7,0,0
236,63,108,9,10,0
0,52,3681,11,0,0
80,127,2041,6,0,0
49,812,10646,10,12,0
4,10,20,9,0,0
25,36,282,7,78,0
661,705,4437,5,74,0
99,64,6666,11,63,0
87,94,269,8,18,0
1014,559,471,7,66,0
487,449,1157,12,146,0
56,112,2253,9,48,0
859,688,5943,14,19,0
37,28,50,10,0,0
68,59,135,12,0,0
14,4,39,12,41,0
85,20,909,9,132,0
21,14,48,7,0,0
21,15,46,13,37,0
99,39,40,8,160,0
29,25,116,9,0,0
113,94,1917,10,78,0
88,104,1423,11,0,0
87,10051,6409,10,148,0
6,5,20,10,0,0
325,250,7632,10,72,0
0,37,839,10,0,0
54,25,16,9,10,0
47,23,38,11,42,0
25,17,284,10,0,0
84,81,10033,9,24,0
33,57,70,12,0,0
1,988,56456,13,68,0
128,152,1889,10,155,0
208,621,8937,6,18,0
0,10,73,15,0,0
514,699,7786,11,148,0
178,113,172,15,93,0
786,270,1235,15,21,0
65,30,15,13,0,0
10,9,48,7,70,0
542,554,1318,9,100,0
35,251,420,13,0,0
63,58,160,12,38,0
61,143,5924,5,135,0
106,134,3581,8,42,0
13,25,35,5,0,0
52,32,91,11,62,0
238,141,2229,12,122,0
46,26,13,6,0,0
99,118,944,15,95,0
147,92,1589,8,103,0
124,135,4874,11,91,0
10,9,90,8,36,0
5,9,160,8,0,0
51,395,7789,8,150,0
25,17,51,8,0,0
86,60,391,7,0,0
78,93,7150,9,94,0
6,6,91,12,60,0
15,41,654,9,63,0
14,23,183,12,35,0
21,20,262,7,11,0
141,267,15967,7,114,0
232,698,8481,7,135,0
54,105,293,8,18,0
411,1208,1452,9,65,0
1,15,32,10,115,0
147,59,633,5,84,0
216,234,3688,11,40,0
22,30,515,8,27,0
59,39,470,10,36,0
26,9,76,9,37,0
1503,791,113857,9,48,0
74,45,291,8,0,0
391,275,4395,10,0,0
188,66,287,8,0,0
271,494,19321,10,59,0
133,3547,4014,14,29,0
1142,939,3024,8,106,0
115,66,1692,13,0,0
113,81,1349,13,66,0
41,92,2132,14,62,0
283,316,848,5,89,0
103,427,291,9,0,0
21,9,12,10,131,0
78,68,671,9,28,0
61,35,279,7,42,0
69,131,2842,10,63,0
71,32,76,13,0,0
37,44,2195,7,63,0
85,32,520,11,112,0
83,203,3866,14,144,0
253,2280,28758,6,160,0
126,134,381,13,0,0
16,16,79,9,0,0
65,92,2031,12,0,0
72,228,557,8,54,0
178,1113,1456,13,0,0
48,55,1245,10,129,0
135,659,14175,10,32,0
86,82,7021,6,23,0
27,15,271,7,0,0
35,7,179,8,0,0
7,8,88,11,24,0
72,88,3336,7,86,0
12,10,81,11,49,0
3,56,962,15,38,0
348,372,2850,14,36,0
284,174,65,15,93,0
3,3,43,10,0,0
91,136,890,7,19,0
119,43,790,13,157,0
68,48,651,7,0,0
793,1003,11096,10,5,0
169,153,8102,8,106,0
63,79,348,13,0,0
0,27,294,8,0,0
118,535,24046,13,111,0
154,30,1034,8,0,0
144,159,1605,7,94,0
23,15,804,9,14,0
14,8,111,7,59,0
64,80,6689,4,93,0
26,9,81,14,0,0
15,0,3,4,0,0
204,235,2892,5,0,0
1227,747,2885,12,0,0
202,113,185,14,0,0
106,146,9478,6,33,0
230,88,1209,13,158,0
141,137,2017,8,116,0
59,53,2063,4,52,0
12,430,34569,14,149,0
261,370,6281,11,135,0
25,19,441,6,0,0
15,25,422,11,110,0
56,66,1131,12,25,0
89,56,143,9,0,0
753,583,1691,8,94,0
20,0,2,6,0,0
40,13,126,6,18,0
27,33,162,13,0,0
2001,1198,1419,11,0,0
93,28,98,9,28,0
181,233,6953,5,82,0
19,15,175,9,38,0
184,148,1229,7,0,0
0,27,1866,13,0,0
74,96,1088,9,0,0
161,210,3856,12,10,0
71,85,458,14,0,0
251,373,3501,14,87,0
880,888,3370,6,121,0
252,1230,3445,9,37,0
79,55,1242,10,50,0
34,7,32,11,0,0
5,15,35,10,0,0
187,134,357,9,48,0
226,66,6394,14,0,0
80,245,2212,9,32,0
179,273,2979,14,157,0
555,328,1240,7,79,0
304,930,15512,9,90,0
27,35,2508,7,68,0
40,51,141,10,17,0
6,0,1,11,0,0
37,17,188,10,10,0
1493,1058,2278,10,152,0
6,7,23,10,0,0
166,471,5574,11,65,0
57,114,755,5,17,0
0,109,8929,13,0,0
90,2131,423,11,0,0
20,27,281,11,0,0
210,185,3438,8,65,0
2,2,4,8,0,0
9,20,633,7,0,0
71,70,5361,6,31,0
397,46,278,8,27,0
205,389,4435,12,95,0
17,415,4410,9,24,0
120,33,182,10,32,0
49,22,155,15,12,0
605,508,966,10,65,0
95,56,836,14,81,0
124,80,2241,10,97,0
55,18,80,14,0,0
24,32,67,15,160,0
347,473,3033,13,21,0
4,5,2,12,0,0
7,5,46,10,0,0
248,340,1748,9,98,0
78,58,388,9,0,0
62981,62529,5708,9,158,0
105,115,112,12,111,0
56,23,187,14,0,0
181,100,6234,11,10,0
2708,2621,2639,13,157,0
11,12,67,10,63,0
158,450,4923,7,62,0
754,764,4423,7,81,0
74,134,585,14,45,0
11,25,229,13,9,0
318,215,916,9,0,0
16,22,86,8,0,0
32,68,368,9,58,0
99,103,1530,10,42,0
740,344,265,9,0,0
690,487,2774,9,157,0
61,299,4352,12,0,0
161,127,2036,13,57,0
35,35,567,5,18,0
